Date,YESBANK18DEC190CE O,YESBANK18DEC190CE H,YESBANK18DEC190CE L,YESBANK18DEC190CE C,YESBANK18DEC190CE V
11/30/2018 3:29:00 PM,9.45,9.5,9.3,9.5,31500
11/30/2018 3:28:00 PM,9.4,9.4,9.35,9.4,8750
11/30/2018 3:27:00 PM,9.4,9.4,9.35,9.4,14000
11/30/2018 3:26:00 PM,9.4,9.45,9.4,9.4,36750
11/30/2018 3:25:00 PM,9.45,9.5,9.4,9.45,52500
11/30/2018 3:24:00 PM,9.4,9.5,9.4,9.5,22750
11/30/2018 3:23:00 PM,9.5,9.5,9.35,9.4,40250
11/30/2018 3:22:00 PM,9.45,9.5,9.45,9.5,35000
11/30/2018 3:21:00 PM,9.45,9.5,9.45,9.45,15750
11/30/2018 3:20:00 PM,9.45,9.55,9.45,9.5,26250
11/30/2018 3:19:00 PM,9.4,9.5,9.4,9.45,19250
11/30/2018 3:18:00 PM,9.35,9.4,9.3,9.4,12250
11/30/2018 3:17:00 PM,9.4,9.4,9.35,9.35,10500
11/30/2018 3:16:00 PM,9.3,9.4,9.3,9.4,33250
11/30/2018 3:15:00 PM,9.3,9.3,9.3,9.3,12250
11/30/2018 3:14:00 PM,9.3,9.3,9.3,9.3,8750
11/30/2018 3:13:00 PM,9.3,9.35,9.3,9.3,24500
11/30/2018 3:12:00 PM,9.25,9.3,9.25,9.3,17500
11/30/2018 3:11:00 PM,9.2,9.25,9.2,9.25,19250
11/30/2018 3:10:00 PM,9.25,9.25,9.15,9.2,8750
11/30/2018 3:09:00 PM,9.3,9.3,9.2,9.2,14000
11/30/2018 3:08:00 PM,9.4,9.4,9.35,9.35,8750
11/30/2018 3:07:00 PM,9.3,9.4,9.3,9.4,21000
11/30/2018 3:06:00 PM,9.25,9.3,9.25,9.3,19250
11/30/2018 3:05:00 PM,9.25,9.3,9.25,9.25,12250
11/30/2018 3:04:00 PM,9.25,9.25,9.2,9.2,5250
11/30/2018 3:03:00 PM,9.25,9.25,9.25,9.25,1750
11/30/2018 3:02:00 PM,9.25,9.25,9.25,9.25,0
11/30/2018 3:01:00 PM,9.4,9.4,9.25,9.25,8750
11/30/2018 3:00:00 PM,9.25,9.4,9.25,9.4,10500
11/30/2018 2:59:00 PM,9.2,9.2,9.2,9.2,8750
11/30/2018 2:58:00 PM,9.2,9.2,9.2,9.2,17500
11/30/2018 2:57:00 PM,9.25,9.25,9.2,9.2,10500
11/30/2018 2:56:00 PM,9.2,9.3,9.2,9.25,21000
11/30/2018 2:55:00 PM,9.2,9.3,9.2,9.2,21000
11/30/2018 2:54:00 PM,9.05,9.25,9.05,9.2,24500
11/30/2018 2:53:00 PM,9.1,9.1,8.95,9.05,12250
11/30/2018 2:52:00 PM,9.2,9.2,9.05,9.1,26250
11/30/2018 2:51:00 PM,9.3,9.3,9.2,9.2,8750
11/30/2018 2:50:00 PM,9.3,9.3,9.25,9.3,10500
11/30/2018 2:49:00 PM,9.25,9.3,9.15,9.3,21000
11/30/2018 2:48:00 PM,9.45,9.45,9.2,9.25,24500
11/30/2018 2:47:00 PM,9.5,9.6,9.45,9.45,8750
11/30/2018 2:46:00 PM,9.3,9.5,9.3,9.5,15750
11/30/2018 2:45:00 PM,9.5,9.5,9.3,9.3,8750
11/30/2018 2:44:00 PM,9.55,9.55,9.5,9.5,5250
11/30/2018 2:43:00 PM,9.6,9.6,9.55,9.55,12250
11/30/2018 2:42:00 PM,9.65,9.8,9.6,9.6,61250
11/30/2018 2:41:00 PM,9.6,9.65,9.5,9.65,38500
11/30/2018 2:40:00 PM,9.5,9.6,9.35,9.6,82250
11/30/2018 2:39:00 PM,9.3,9.5,9.3,9.5,24500
11/30/2018 2:38:00 PM,9.2,9.35,9.15,9.3,14000
11/30/2018 2:37:00 PM,9.2,9.35,9.2,9.2,29750
11/30/2018 2:36:00 PM,9.1,9.25,9.1,9.2,21000
11/30/2018 2:35:00 PM,8.9,9.1,8.9,9.1,31500
11/30/2018 2:34:00 PM,8.85,8.85,8.85,8.85,7000
11/30/2018 2:33:00 PM,8.8,8.8,8.8,8.8,0
11/30/2018 2:32:00 PM,8.8,8.85,8.8,8.8,31500
11/30/2018 2:31:00 PM,8.75,8.8,8.75,8.8,12250
11/30/2018 2:30:00 PM,8.75,8.75,8.75,8.75,3500
11/30/2018 2:29:00 PM,8.8,8.8,8.8,8.8,1750
11/30/2018 2:28:00 PM,8.9,8.9,8.8,8.8,7000
11/30/2018 2:27:00 PM,8.85,8.9,8.85,8.9,5250
11/30/2018 2:26:00 PM,8.85,8.85,8.85,8.85,1750
11/30/2018 2:25:00 PM,8.8,8.95,8.8,8.85,22750
11/30/2018 2:24:00 PM,8.75,8.8,8.75,8.8,5250
11/30/2018 2:23:00 PM,8.75,8.75,8.75,8.75,0
11/30/2018 2:22:00 PM,8.75,8.75,8.75,8.75,3500
11/30/2018 2:21:00 PM,8.75,8.8,8.75,8.75,3500
11/30/2018 2:20:00 PM,8.85,8.85,8.75,8.75,10500
11/30/2018 2:19:00 PM,8.7,8.75,8.7,8.75,1750
11/30/2018 2:18:00 PM,8.9,8.9,8.7,8.7,8750
11/30/2018 2:17:00 PM,8.9,8.9,8.9,8.9,1750
11/30/2018 2:16:00 PM,8.9,9,8.9,8.9,15750
11/30/2018 2:15:00 PM,8.85,8.9,8.85,8.9,7000
11/30/2018 2:14:00 PM,8.85,8.85,8.85,8.85,8750
11/30/2018 2:13:00 PM,8.85,8.85,8.8,8.8,12250
11/30/2018 2:12:00 PM,8.7,8.85,8.7,8.85,15750
11/30/2018 2:11:00 PM,8.7,8.7,8.7,8.7,0
11/30/2018 2:10:00 PM,8.8,8.8,8.7,8.7,12250
11/30/2018 2:09:00 PM,8.8,8.85,8.8,8.85,1750
11/30/2018 2:08:00 PM,8.7,8.85,8.7,8.8,7000
11/30/2018 2:07:00 PM,8.75,8.8,8.7,8.7,15750
11/30/2018 2:06:00 PM,8.7,8.75,8.7,8.75,7000
11/30/2018 2:05:00 PM,8.8,8.8,8.7,8.7,12250
11/30/2018 2:04:00 PM,8.85,8.85,8.85,8.85,1750
11/30/2018 2:03:00 PM,8.85,8.85,8.85,8.85,5250
11/30/2018 2:02:00 PM,8.7,8.9,8.7,8.85,14000
11/30/2018 2:01:00 PM,8.7,8.8,8.7,8.7,22750
11/30/2018 2:00:00 PM,8.8,8.8,8.6,8.7,57750
11/30/2018 1:59:00 PM,8.75,8.95,8.75,8.8,22750
11/30/2018 1:58:00 PM,9,9,8.8,8.85,17500
11/30/2018 1:57:00 PM,8.95,9,8.95,9,12250
11/30/2018 1:56:00 PM,8.85,8.95,8.85,8.95,15750
11/30/2018 1:55:00 PM,8.85,9,8.85,8.85,10500
11/30/2018 1:54:00 PM,8.95,8.95,8.85,8.85,12250
11/30/2018 1:53:00 PM,9.05,9.05,8.85,8.95,28000
11/30/2018 1:52:00 PM,9.05,9.05,9,9.05,12250
11/30/2018 1:51:00 PM,9.15,9.15,9.05,9.05,5250
11/30/2018 1:50:00 PM,9.2,9.2,9.15,9.15,10500
11/30/2018 1:49:00 PM,9.15,9.2,9.15,9.2,7000
11/30/2018 1:48:00 PM,9.1,9.2,9.1,9.15,3500
11/30/2018 1:47:00 PM,9.1,9.1,9.1,9.1,1750
11/30/2018 1:46:00 PM,9.05,9.2,9.05,9.1,24500
11/30/2018 1:45:00 PM,9.05,9.05,9.05,9.05,1750
11/30/2018 1:44:00 PM,9.15,9.15,9,9.05,24500
11/30/2018 1:43:00 PM,9.05,9.15,9.05,9.15,7000
11/30/2018 1:42:00 PM,8.9,9.05,8.9,9.05,5250
11/30/2018 1:41:00 PM,8.85,8.9,8.85,8.9,8750
11/30/2018 1:40:00 PM,8.85,8.85,8.85,8.85,5250
11/30/2018 1:39:00 PM,8.95,8.95,8.8,8.8,3500
11/30/2018 1:38:00 PM,9.05,9.05,8.95,8.95,7000
11/30/2018 1:37:00 PM,9,9.05,9,9.05,3500
11/30/2018 1:36:00 PM,9.05,9.05,9,9,14000
11/30/2018 1:35:00 PM,9.05,9.05,9.05,9.05,1750
